#separator:Semicolon
#html:true
#tags column:3
#deck:AZ104::05 Monitoraggio
Quali sono i due tipi fondamentali di dati in Azure Monitor?;Metrics (numeriche, leggere, quasi in tempo reale) e Logs (record strutturati interrogabili con KQL).<br>Le metriche rispondono a "quanto", i log a "cosa è successo". Distinzione alla base di metà delle domande del dominio.;monitoraggio fondamenti
Per quanto tempo Azure Monitor conserva le metriche di piattaforma?;93 giorni.<br>Per conservarle più a lungo vanno esportate in un Log Analytics workspace o in uno storage account con una diagnostic setting.;monitoraggio metriche
Con quale granularità vengono campionate le metriche di piattaforma?;A un minuto, aggregate poi su intervalli più ampi.<br>Le metriche sono quasi in tempo reale, con latenza tipica di 1-3 minuti. I log hanno latenza maggiore.;monitoraggio metriche
Cosa sono i guest OS metrics e perché non compaiono di default?;Sono le metriche interne alla VM (memoria libera, spazio disco, processi) che Azure non vede dall'esterno.<br>Servono l'Azure Monitor Agent e una data collection rule. La percentuale di RAM usata di una VM non è mai disponibile senza agente.;monitoraggio metriche
Quale metrica di una VM è disponibile senza installare alcun agente?;Percentage CPU, oltre a disco e rete misurati a livello di host.<br>La memoria non è tra queste. Domanda ricorrente: "quale metrica richiede un agente" ha come risposta la memoria.;monitoraggio metriche
Cosa sono le dimension di una metrica?;Attributi che permettono di suddividere una metrica, ad esempio per disco, per istanza o per codice di stato.<br>Il splitting per dimension è ciò che permette di vedere quale singola istanza sta soffrendo.;monitoraggio metriche
Cos'è un Log Analytics workspace?;Il contenitore dove Azure Monitor salva e interroga i dati di log, con la propria region, retention e modello di costo.<br>È l'unità di isolamento per accesso e fatturazione dei log.;monitoraggio logs
Qual è la retention gratuita di default di un Log Analytics workspace?;31 giorni, che diventano 90 se è attivo Microsoft Sentinel sul workspace.<br>Oltre il periodo incluso si paga per GB al mese. La retention si può portare fino a 12 anni con l'archivio.;monitoraggio logs
Cosa sono interactive retention e archive in Log Analytics?;L'interactive retention è il periodo in cui i dati sono direttamente interrogabili. L'archive è uno stato a costo ridotto da cui i dati vanno ripristinati o interrogati con search job.<br>Servono per conservare a lungo termine senza pagare il prezzo pieno.;monitoraggio logs
La retention si può impostare per singola tabella?;Sì. Oltre alla retention del workspace si può definire una retention specifica per tabella.<br>Utile per tenere pochi giorni di log verbosi e anni di log di sicurezza.;monitoraggio logs
Cosa sono i pricing tier basic logs e analytics logs?;Analytics logs sono i log completi, interrogabili con tutte le funzioni e usabili negli alert. I basic logs costano meno ma hanno query limitate, retention corta e non supportano gli alert.<br>Se lo scenario chiede alert su una tabella, quella tabella non può essere in basic logs.;monitoraggio logs
Cosa fa una diagnostic setting?;Instrada i log delle risorse e le metriche verso Log Analytics workspace, storage account, event hub o partner solution.<br>Senza diagnostic setting i resource log semplicemente non vengono raccolti. Punto di partenza di ogni scenario di logging.;monitoraggio logs
Quante destinazioni può avere una singola diagnostic setting?;Può inviare contemporaneamente a workspace, storage account, event hub e partner solution.<br>Si possono creare fino a cinque diagnostic setting per risorsa.;monitoraggio logs
Quale destinazione si sceglie per conservare i log a lungo termine al minor costo?;Uno storage account, eventualmente con lifecycle policy verso i tier Cool o Archive.<br>Il workspace serve per interrogare, lo storage account per conservare, l'event hub per lo streaming verso terze parti.;monitoraggio logs
Quale destinazione si sceglie per inviare i log a un SIEM di terze parti in tempo reale?;Un Event Hub.<br>È la risposta corretta ogni volta che lo scenario nomina Splunk, QRadar o un sistema esterno in streaming.;monitoraggio logs
Cosa registra l'Activity Log?;Gli eventi del control plane: chi ha creato, modificato o eliminato una risorsa, e le operazioni di servizio.<br>Non contiene nulla di ciò che accade dentro una VM o dentro i dati. Retention nativa di 90 giorni.;monitoraggio logs
Qual è la retention nativa dell'Activity Log e come si estende?;90 giorni. Si estende creando una diagnostic setting che lo esporta in un workspace o storage account.<br>Domanda ricorrente: "conserva gli eventi per un anno" richiede l'esportazione, non una impostazione di retention.;monitoraggio logs
In quale tabella finisce l'Activity Log esportato in un workspace?;AzureActivity.<br>I resource log finiscono in AzureDiagnostics o in tabelle dedicate per risorsa. Le metriche esportate in AzureMetrics.;monitoraggio logs
Cos'è l'Azure Monitor Agent?;L'agente unico corrente per raccogliere log e metriche da VM Azure, VM Arc e macchine on-premises.<br>Ha sostituito il Log Analytics agent (MMA) e il Diagnostics extension. L'MMA è stato ritirato: se compare come risposta corrente è obsoleto.;monitoraggio agente
Cosa configura una data collection rule?;Che cosa raccogliere (contatori, eventi, file di log), da quali macchine e verso quale destinazione.<br>Con l'Azure Monitor Agent la configurazione non sta più sull'agente ma nella DCR, che è una risorsa Azure riusabile.;monitoraggio agente
