#separator:Semicolon
#html:true
#tags column:3
#deck:AZ104::03 Compute
Quali risorse vengono create insieme a una VM Azure dal portale?;La VM, un disco OS, una NIC, un IP pubblico opzionale, un NSG e la VNet o subnet se non esiste già.<br>Sono risorse separate con ciclo di vita proprio: cancellare la VM non cancella automaticamente tutto, salvo aver spuntato la delete option.;compute vm
Cosa succede ai dischi e alla NIC quando si elimina una VM?;Restano se non è stata impostata la delete option "Delete with VM" su ciascuno.<br>Da qualche tempo il portale propone la spunta di default sul disco OS. È la causa numero uno di risorse orfane che continuano a costare.;compute vm
Che differenza c'è tra stato Stopped e Stopped (deallocated)?;Stopped significa spento ma con hardware ancora riservato e fatturato. Stopped (deallocated) libera le risorse e ferma la fatturazione del compute.<br>Spegnere la VM da dentro il sistema operativo dà Stopped. Solo il portale, CLI o PowerShell danno deallocated.;compute vm
Cosa si continua a pagare su una VM deallocated?;I dischi gestiti, gli IP pubblici statici e le eventuali risorse collegate.<br>Il compute si ferma, lo storage no. Trappola classica sulle domande di costo.;compute vm
Cosa succede all'IP pubblico dinamico quando la VM viene deallocata?;Viene rilasciato e alla riaccensione la VM prende un IP diverso.<br>Per mantenere lo stesso IP serve un IP pubblico Static. Con lo SKU Standard l'allocazione è comunque statica.;compute vm
Cosa succede all'IP privato quando una VM viene deallocata?;Se l'allocazione è Dynamic l'IP resta riservato per la NIC finché la VM esiste, ma può cambiare in casi particolari.<br>Per garanzia assoluta si imposta l'allocazione Static sulla configurazione IP della NIC.;compute vm
Quali sono le famiglie di VM da ricordare per l'esame?;B (burstable ed economiche), D (general purpose), E (memoria alta), F (CPU alta), L (storage), N (GPU), M (memoria enorme).<br>La lettera dice la vocazione. Se lo scenario dice "carico di calcolo intensivo" pensa alla F, se dice "database in memoria" pensa alla E o M.;compute vm
Cosa caratterizza le VM serie B?;Accumulano credits quando sono sotto la baseline di CPU e li spendono nei picchi.<br>Ideali per carichi intermittenti come server di test. Pessime per carichi costanti: finiti i credits crollano alla baseline.;compute vm
Si può ridimensionare una VM in esecuzione?;Sì se la nuova size è disponibile nello stesso hardware cluster. Altrimenti la VM va deallocata prima.<br>Il cambio comporta comunque un riavvio. Se la size desiderata non compare in elenco, quasi sempre serve deallocare.;compute vm
Perché una certa VM size non compare tra le opzioni di ridimensionamento?;Perché non è disponibile nel cluster hardware corrente, nella region o nella availability zone della VM.<br>Soluzione: deallocare la VM, che così può essere ricollocata su un cluster che supporta la size.;compute vm
Le VM in un availability set possono essere ridimensionate liberamente?;Solo verso size supportate da tutto il cluster che ospita l'availability set.<br>Se lo scenario ha un availability set, il vincolo di size è più stretto. Va considerato nel troubleshooting.;compute vm
Cos'è una Spot VM?;Una VM che usa capacità inutilizzata a forte sconto ma può essere sfrattata da Azure con 30 secondi di preavviso.<br>Non usarla per carichi che non tollerano interruzioni. Non è supportata negli availability set.;compute vm
Quali sono le due eviction policy delle Spot VM?;Deallocate (la VM resta ma va in stato deallocated) e Delete (la VM viene eliminata).<br>Con Deallocate continui a pagare i dischi. Con Delete perdi tutto ma non paghi più nulla.;compute vm
Cos'è l'Azure Hybrid Benefit per le VM?;Permette di riusare licenze Windows Server o SQL Server con Software Assurance per pagare solo il compute.<br>Si attiva alla creazione o dopo, sul campo licenseType. Risparmio tipico chiesto nelle domande di costo.;compute vm
Cos'è una Reserved Instance e cosa copre?;Un impegno di 1 o 3 anni su una famiglia di VM in una region, con sconto significativo.<br>Copre il compute, non il software né i dischi. È flessibile dentro la stessa famiglia di size.;compute vm
Cos'è un Azure Savings Plan for compute?;Un impegno a spendere un importo orario fisso per 1 o 3 anni, applicabile in modo flessibile su servizi compute diversi.<br>Più flessibile di una reservation ma con sconto tipicamente inferiore.;compute vm
Che differenza c'è tra VM generation V1 e V2?;V1 usa il BIOS legacy, V2 usa UEFI e abilita funzioni come Trusted Launch, dischi OS oltre i 2 TB e Secure Boot.<br>La generation si sceglie dall'immagine e non si cambia dopo la creazione della VM.;compute vm
Cos'è Trusted Launch?;Un insieme di protezioni per le VM Gen2 che comprende Secure Boot, vTPM e integrity monitoring.<br>Richiede Gen2. Alcune funzionalità come Azure Disk Encryption classica hanno vincoli quando è attivo.;compute vm
Cos'è una VM Extension?;Un piccolo agente che Azure inietta nella VM per eseguire configurazioni post-deploy.<br>Esempi: Custom Script Extension, DSC, Azure Monitor Agent, Network Watcher Agent, dependency agent.;compute estensioni
Cosa fa la Custom Script Extension?;Scarica ed esegue uno script (PowerShell o Bash) dentro la VM dopo il provisioning.<br>Lo script si prende da uno storage account o da un URL. È la risposta tipica per "configura il software dopo il deploy".;compute estensioni
Come si esegue un comando dentro una VM senza aprire porte di rete?;Con Run Command, che passa dall'agente VM e dal control plane invece che da RDP o SSH.<br>Risposta corretta quando lo scenario dice "senza connettività di rete verso la VM".;compute estensioni
Cos'è l'Azure VM Agent e a cosa serve?;Un agente preinstallato nelle immagini Azure che permette l'installazione e la gestione delle extension.<br>Se le extension falliscono, la prima cosa da verificare è lo stato dell'agente (Ready o Not Ready).;compute estensioni
Quali sono i tipi di managed disk disponibili?;Standard HDD, Standard SSD, Premium SSD, Premium SSD v2 e Ultra Disk.<br>Ordine per prestazioni e costo crescenti. Ultra e Premium v2 hanno IOPS e throughput configurabili separatamente dalla size.;compute dischi
Quale disco ha IOPS e throughput configurabili indipendentemente dalla capacità?;Ultra Disk e Premium SSD v2.<br>Sugli altri tipi le prestazioni sono legate a scaglioni di dimensione (P10, P30 e simili). Domanda ricorrente.;compute dischi
Il disco OS può essere un Ultra Disk?;No. Ultra Disk è supportato solo come disco dati.<br>Vale anche per Premium SSD v2 in molti scenari. Se la domanda mette Ultra come disco OS, è un distrattore.;compute dischi
Cos'è il temporary disk di una VM e perché non va usato per i dati?;È un disco locale all'host, montato tipicamente come D: su Windows e /dev/sdb su Linux, il cui contenuto si perde a ogni deallocazione o migrazione dell'host.<br>Serve solo per pagefile e file temporanei. Alcune size moderne non lo hanno affatto.;compute dischi
Si può ridurre la dimensione di un managed disk?;No. I dischi si possono solo espandere.<br>Per rimpicciolire bisogna creare un disco nuovo e copiare i dati. Trappola d'esame frequente.;compute dischi
Serve spegnere la VM per espandere un disco dati?;In molti scenari sì, ma l'espansione a caldo dei dischi dati è supportata su configurazioni recenti.<br>Dopo l'espansione bisogna comunque estendere la partizione dentro il sistema operativo: Azure allarga il disco, non il volume.;compute dischi
Cos'è l'host caching di un disco e quali opzioni ha?;Una cache sull'host che accelera le letture o le scritture. Le opzioni sono None, ReadOnly e ReadWrite.<br>Per i dischi dati di un database transazionale si usa None o ReadOnly. Il disco OS ha ReadWrite di default.;compute dischi
Cosa fa uno shared disk?;Permette di collegare lo stesso managed disk a più VM contemporaneamente per cluster failover.<br>Richiede Premium SSD o Ultra e un cluster manager che gestisca il locking. Non è un file share.;compute dischi
