#separator:Semicolon
#html:true
#tags column:3
#deck:AZ104::02 Storage
Quali sono i quattro servizi dati contenuti in uno storage account?;Blob (container), File (share SMB e NFS), Queue e Table.<br>Disk non è tra questi: i managed disk sono una risorsa a sé, non vivono in uno storage account visibile.;storage account
Che differenza c'è tra StorageV2, StorageV1 e BlobStorage?;StorageV2 (general-purpose v2) è l'unico da usare oggi e supporta tutti e quattro i servizi più i tier di accesso. V1 e BlobStorage sono legacy.<br>All'esame la risposta giusta è quasi sempre StorageV2. Da V1 si può fare upgrade a V2, ma non si torna indietro.;storage account
Quale tipo di storage account serve per i premium block blob?;Un account Premium con kind BlockBlobStorage.<br>Il Premium non si sceglie con un menu "tier": si sceglie la performance Premium in creazione e questo vincola il kind. Premium supporta solo LRS e ZRS.;storage account
Quali sono i vincoli sul nome di uno storage account?;Da 3 a 24 caratteri, solo lettere minuscole e numeri, univoco a livello globale.<br>Niente trattini, niente maiuscole. Il nome finisce nell'endpoint NOME.blob.core.windows.net, per questo deve essere globalmente unico.;storage account
Si può cambiare la performance tier di uno storage account da Standard a Premium?;No. Performance Standard e Premium si scelgono alla creazione e non sono modificabili.<br>Per passare a Premium bisogna creare un nuovo account e migrare i dati con AzCopy. Trappola classica.;storage account
Quali sono le opzioni di ridondanza di uno storage account?;LRS, ZRS, GRS, GZRS, e le varianti in lettura RA-GRS e RA-GZRS.<br>Sono sei nomi ma tre dimensioni: copie locali, copie tra zone, copie in altra region.;storage ridondanza
Quante copie mantiene LRS e contro cosa protegge?;Tre copie sincrone dentro un singolo datacenter di una singola zona.<br>Protegge dal guasto di un disco o di un rack. Non protegge dalla perdita di un intero datacenter o di una zona.;storage ridondanza
Quante copie mantiene ZRS e contro cosa protegge?;Tre copie sincrone distribuite su tre availability zone diverse della stessa region.<br>Protegge dalla perdita di una intera zona. Non protegge dalla perdita della region.;storage ridondanza
Quante copie mantiene GRS e contro cosa protegge?;Sei copie: tre in LRS nella region primaria più tre in LRS nella region secondaria abbinata.<br>La replica verso la secondaria è asincrona, quindi in un failover si può perdere l'ultima finestra di scritture.;storage ridondanza
Quante copie mantiene GZRS?;Sei copie: tre distribuite su tre zone nella region primaria più tre in LRS nella region secondaria.<br>È l'opzione più resiliente. Combina protezione di zona e protezione di region.;storage ridondanza
Con GRS si può leggere dalla region secondaria?;No. Serve RA-GRS (read-access GRS) per avere un endpoint di lettura sulla secondaria.<br>Con GRS semplice la copia secondaria esiste ma è inaccessibile finché non fai failover. Trappola frequentissima.;storage ridondanza
Qual è il suffisso dell'endpoint di lettura secondario in RA-GRS?;Il nome account con suffisso -secondary, ad esempio contoso-secondary.blob.core.windows.net.<br>La lettura secondaria è sola lettura e può essere indietro rispetto alla primaria.;storage ridondanza
Cos'è la Last Sync Time property?;È il timestamp fino al quale tutte le scritture della primaria sono state replicate sulla secondaria.<br>Serve a stimare quanti dati perderesti facendo failover ora. Si legge sulle proprietà dell'account con ridondanza geo.;storage ridondanza
Chi decide la region secondaria di un account GRS?;Nessuno: è la paired region fissata da Azure per la region primaria. Non è configurabile.<br>Eccezione da conoscere: gli account con ridondanza geo in region senza pair usano un modello diverso, ma per l'esame vale la paired region.;storage ridondanza
Quali ridondanze sono supportate dai premium block blob?;Solo LRS e ZRS.<br>Nessuna ridondanza geo per il Premium. Se lo scenario chiede Premium più protezione region, la risposta è object replication, non GRS.;storage ridondanza
Quali ridondanze sono supportate dai premium file share?;Solo LRS e ZRS.<br>Stessa logica dei premium block blob. Per copie cross-region sui file serve Azure File Sync o AzCopy.;storage ridondanza
Si può passare da LRS a GRS senza downtime?;Sì. Il cambio di ridondanza è una modifica delle proprietà dell'account e i dati restano accessibili.<br>Attenzione al passaggio zonale (LRS verso ZRS) che in alcuni scenari richiede una conversion job o una migrazione manuale.;storage ridondanza
Che differenza c'è tra customer-managed failover e Microsoft-managed failover?;Il customer-managed lo scateni tu dal portale sull'account geo-ridondante. Il Microsoft-managed avviene solo in disastri regionali gravi decisi da Microsoft.<br>Dopo un failover l'account diventa LRS nella nuova primaria: va riconfigurata la ridondanza.;storage ridondanza
Dopo un account failover che ridondanza ha l'account?;Diventa LRS nella nuova region primaria.<br>Bisogna riconfigurare GRS o GZRS a mano dopo il failover. Domanda ricorrente.;storage ridondanza
Quali sono i tier di accesso dei blob?;Hot, Cool, Cold e Archive.<br>Cold sta tra Cool e Archive. Ricordare l'ordine per costo di storage decrescente e costo di accesso crescente.;storage tier
Quali tier si possono impostare a livello di storage account?;Hot, Cool e Cold.<br>Archive si imposta solo sul singolo blob, mai come default dell'account. Trappola d'esame.;storage tier
Qual è la durata minima di permanenza per Cool, Cold e Archive?;Cool 30 giorni, Cold 90 giorni, Archive 180 giorni.<br>Uscire prima comporta una early deletion penalty proporzionale ai giorni mancanti.;storage tier
Un blob in Archive si può leggere direttamente?;No. È offline. Va prima riportato online con una operazione di rehydration verso Hot, Cool o Cold.<br>Tentare una lettura diretta restituisce errore BlobArchived.;storage tier
Quali priorità di rehydration esistono e quanto ci mettono?;Standard fino a circa 15 ore, High tipicamente sotto l'ora per blob inferiori a 10 GB.<br>La priorità si può alzare da Standard a High su una rehydration in corso, non abbassare.;storage tier
Quali sono i due modi per riportare online un blob in Archive?;Cambiare il tier del blob stesso (Set Blob Tier) oppure copiarlo in un nuovo blob online (Copy Blob).<br>Con la copia l'originale resta in Archive. Se lo scenario dice "l'originale deve restare in archivio", la risposta è la copia.;storage tier
Su quali tipi di blob si applicano i tier di accesso?;Solo sui block blob.<br>Append blob e page blob non hanno tier di accesso. I dischi sono page blob, per questo non si archiviano così.;storage tier
Cosa fa la lifecycle management policy?;Applica regole automatiche che spostano di tier o cancellano i blob in base all'età o all'ultimo accesso.<br>Vale solo per block blob e append blob su account GPv2, BlockBlobStorage e BlobStorage.;storage lifecycle
In che formato si scrive una lifecycle policy?;In JSON, come insieme di rule con filterSet e actions.<br>Il portale offre anche una vista a form, ma l'esame mostra spesso il JSON. Le azioni tipiche sono tierToCool, tierToArchive, delete.;storage lifecycle
Ogni quanto viene valutata una lifecycle policy?;Una volta al giorno. Dopo la creazione può servire fino a 24 ore per la prima esecuzione e altre 24 per l'azione.<br>Se lo scenario chiede effetto immediato, la lifecycle policy non è la risposta.;storage lifecycle
Quali condizioni può usare una lifecycle rule?;daysAfterModificationGreaterThan, daysAfterCreationGreaterThan, daysAfterLastAccessTimeGreaterThan e le varianti sulle versioni e sugli snapshot.<br>Per usare la condizione sull'ultimo accesso va prima abilitato l'access time tracking sull'account.;storage lifecycle
Una lifecycle policy può spostare un blob da Archive a Hot?;No. Le azioni di tiering della lifecycle vanno solo verso il basso.<br>La rehydration è sempre una azione esplicita, mai automatica via lifecycle.;storage lifecycle
Cosa fa il soft delete dei blob?;Conserva i blob cancellati o sovrascritti per un periodo di retention configurabile, da 1 a 365 giorni.<br>Esiste in due forme separate: soft delete per i blob e soft delete per i container. Vanno abilitate entrambe.;storage protezione
Il container soft delete recupera anche i blob che conteneva?;Sì, ripristinando il container si recupera il suo contenuto al momento della cancellazione.<br>Ma il blob soft delete da solo non protegge dalla cancellazione del container. Servono entrambi.;storage protezione
