#separator:Semicolon
#html:true
#tags column:3
#deck:AZ104::01 Identita e governance
Qual è il nome ufficiale corrente del servizio di identità cloud di Azure?;Microsoft Entra ID<br>Il nome "Azure AD" è deprecato dal 2023. All'esame compare solo Microsoft Entra ID. Le API restano su graph.microsoft.com.;identita entra
Differenza tra Microsoft Entra ID tenant e Azure subscription;Il tenant è il confine di identità (utenti, gruppi, app). La subscription è il confine di fatturazione e delle risorse.<br>Una subscription è associata a un solo tenant alla volta, ma un tenant può contenere molte subscription.;identita entra
Una Azure subscription può essere collegata a più tenant contemporaneamente?;No. Una subscription ha un solo trust relationship con un tenant alla volta.<br>Si può trasferire a un altro tenant, ma tutte le assegnazioni RBAC vengono perse nel passaggio.;identita entra
Differenza tra Security group e Microsoft 365 group in Microsoft Entra ID;Security group serve per dare accesso a risorse e può contenere utenti, dispositivi, gruppi e service principal. Microsoft 365 group serve per la collaborazione e contiene solo utenti.<br>Solo i Security group possono contenere dispositivi. Solo i M365 group creano mailbox e SharePoint site.;identita entra
Differenza tra membership Assigned e Dynamic;Assigned significa che aggiungi i membri manualmente. Dynamic significa che i membri entrano ed escono automaticamente in base a una regola sugli attributi.<br>Passare da Assigned a Dynamic svuota il gruppo e lo ripopola con la regola.;identita entra
Quale licenza serve per usare i gruppi dinamici in Microsoft Entra ID?;Microsoft Entra ID P1 (una licenza per ogni membro del gruppo dinamico).<br>Domanda ricorrente all'esame. I gruppi dinamici non sono inclusi in Entra ID Free.;identita entra
Quali sono i due tipi di membership dinamica?;Dynamic User e Dynamic Device.<br>Un gruppo dinamico non può mischiare utenti e dispositivi nella stessa regola. I Microsoft 365 group supportano solo Dynamic User.;identita entra
Esempio di regola di membership dinamica per il reparto Vendite;(user.department -eq "Sales")<br>Le regole usano la sintassi Membership Rule. Operatori tipici -eq -ne -contains -match -startsWith.;identita entra
Cos'è una Administrative Unit in Microsoft Entra ID?;È un contenitore che limita l'ambito dei ruoli amministrativi a un sottoinsieme di utenti, gruppi o dispositivi.<br>Serve per delegare, ad esempio, il reset password solo agli utenti di una sede. Richiede licenza Entra ID P1.;identita entra
Quali oggetti può contenere una Administrative Unit?;Utenti, gruppi e dispositivi.<br>Non contiene risorse Azure. Un oggetto può appartenere a più Administrative Unit.;identita entra
Differenza tra user type Member e Guest;Member è un utente interno del tenant con permessi di default completi di lettura sulla directory. Guest è un utente esterno con permessi di lettura fortemente ridotti.<br>Il tipo utente è indipendente da come è stato creato. Si può cambiare Member in Guest e viceversa.;identita entra
Come si invita un utente esterno in Microsoft Entra ID?;Con un invito B2B (B2B collaboration), che crea un oggetto Guest nel tenant e invia un invito via email.<br>L'utente esterno si autentica sempre con la sua identità di origine. Nel tenant non esiste una sua password.;identita entra
Comando Azure CLI per invitare un utente guest;az ad user invite --invited-user-email-address "mario@esterno.com" --invite-redirect-url "https://myapps.microsoft.com"<br>L'invito genera un redemption link. Finché non viene accettato, lo stato resta PendingAcceptance.;identita entra
Comando Azure CLI per creare un utente in Microsoft Entra ID;az ad user create --display-name "Mario Rossi" --user-principal-name mario@contoso.com --password "Pa55w.rd1234"<br>Serve il UPN completo con dominio verificato del tenant.;identita entra
Quale modulo PowerShell si usa oggi per gestire utenti e gruppi Entra ID?;Microsoft Graph PowerShell (Microsoft.Graph), con cmdlet come New-MgUser e New-MgGroup.<br>I moduli AzureAD e MSOnline sono deprecati e ritirati. Non usarli all'esame.;identita entra
A cosa serve il Self-Service Password Reset (SSPR)?;Permette agli utenti di reimpostare da soli la password senza aprire un ticket all'help desk.<br>Riduce il carico L1. Si configura in Entra ID sotto Password reset.;identita sspr
Quale licenza serve per SSPR?;Entra ID Free copre SSPR per i soli utenti cloud-only. Per gli utenti ibridi sincronizzati serve Entra ID P1 con password writeback.<br>Distinzione chiave all'esame: cloud-only gratis, ibrido a pagamento.;identita sspr
Cos'è il password writeback e quando serve?;È la funzione che riscrive nella Active Directory on-premises la password cambiata nel cloud. Serve per SSPR con utenti sincronizzati.<br>Si abilita in Microsoft Entra Connect e richiede Entra ID P1.;identita sspr
Quanti metodi di autenticazione servono per SSPR?;Sono configurabili 1 o 2 metodi per gli utenti normali. Per gli amministratori sono sempre obbligatori 2 metodi.;identita sspr
Si può disabilitare SSPR per gli amministratori?;No. SSPR è sempre attivo per i ruoli amministrativi e richiede sempre 2 metodi di autenticazione.<br>Lo scope SSPR (None, Selected, All) si applica solo agli utenti non-admin.;identita sspr
Quali sono le tre opzioni di scope per SSPR?;None, Selected (un solo gruppo) e All.<br>Con Selected si può indicare un solo gruppo alla volta. Per più gruppi bisogna annidarli in un gruppo unico.;identita sspr
Cos'è il group-based licensing?;È l'assegnazione automatica di licenze a tutti i membri di un gruppo.<br>Richiede Entra ID P1. Rimuovendo un utente dal gruppo la licenza viene revocata automaticamente.;identita entra
Perché un'assegnazione di licenza tramite gruppo può fallire?;Le cause tipiche sono licenze insufficienti, conflitto tra servizi o Usage location mancante sull'utente.<br>L'errore si vede in Licenses e poi Licensed users. Usage location assente è la causa più frequente.;identita troubleshooting
Cosa succede quando si elimina un utente da Microsoft Entra ID?;Va in soft delete e resta recuperabile per 30 giorni, poi viene eliminato definitivamente.<br>Si ripristina da Users e poi Deleted users. Dopo i 30 giorni il recupero è impossibile.;identita entra
Per quanto tempo è recuperabile un gruppo Microsoft 365 eliminato?;30 giorni.<br>I Security group invece NON hanno soft delete: l'eliminazione è immediata e definitiva.;identita entra
Come si creano centinaia di utenti senza usare script?;Con le bulk operations del portale, caricando un file CSV (Bulk create, Bulk invite, Bulk delete).<br>Il template CSV va scaricato dal portale. L'esito si controlla in Bulk operation results.;identita entra
Mapping AWS-Azure: IAM Users e Groups corrispondono a...?;Microsoft Entra ID users e groups.<br>Differenza chiave: in AWS le policy IAM si attaccano a utenti e ruoli, in Azure i permessi sulle risorse si danno con RBAC role assignment separati dall'identità.;identita aws-mapping
Un utente guest non riesce a vedere una risorsa Azure a cui pensi sia autorizzato. Prima cosa da controllare?;Verifica che il guest abbia accettato l'invito (stato non PendingAcceptance) e che esista una role assignment RBAC sulla risorsa.<br>Essere nel tenant non dà nessun accesso alle risorse: servono sempre i ruoli RBAC.;identita troubleshooting
Da quali tre elementi è composta una role assignment in Azure RBAC?;Security principal (chi), Role definition (cosa può fare) e Scope (dove).<br>Mancando anche uno solo dei tre l'accesso non esiste. È lo schema mentale da usare in ogni domanda RBAC.;identita rbac
Quali sono i quattro livelli di scope RBAC, dal più ampio al più stretto?;Management group, Subscription, Resource group, Resource.<br>Le assegnazioni si ereditano verso il basso. Assegnare al management group significa assegnare a tutto ciò che contiene.;identita rbac
Le role assignment RBAC sono ereditate verso il basso o verso l'alto?;Solo verso il basso. Un ruolo dato su un resource group vale su tutte le sue risorse, mai sulla subscription che lo contiene.;identita rbac
Differenza tra i ruoli Owner, Contributor e Reader;Owner: tutto, incluso assegnare ruoli. Contributor: tutto tranne assegnare ruoli. Reader: sola lettura.<br>La differenza Owner-Contributor è la gestione degli accessi ed è una delle domande più frequenti dell'esame.;identita rbac
Quale ruolo permette di gestire gli accessi ma non le risorse?;User Access Administrator.<br>È l'inverso speculare di Contributor. Utile per delegare la sola gestione dei permessi.;identita rbac
Un utente con ruolo Contributor su un resource group può assegnare ruoli RBAC?;No. Contributor non può creare né modificare role assignment.<br>Servirebbe Owner o User Access Administrator. Errore classico da help desk L1.;identita troubleshooting
Come si combinano più role assignment sullo stesso utente?;Sono additive: l'utente ottiene l'unione di tutti i permessi ereditati e assegnati.<br>Non esiste il concetto di ruolo "più restrittivo che vince". Vince sempre la somma.;identita rbac
Cos'è una deny assignment e che priorità ha?;È un blocco esplicito su determinate azioni. Ha sempre la precedenza sulle role assignment.<br>Ordine di valutazione: le deny assignment vincono su qualsiasi Allow, anche su Owner.;identita rbac
Le deny assignment si possono creare a mano?;No. Sono create solo da Azure (ad esempio dai Blueprint o dai managed application). L'amministratore non può crearle direttamente.;identita rbac
Differenza tra NotActions in una role definition e una deny assignment;NotActions sottrae permessi dalla stessa role definition. La deny assignment blocca l'azione anche se un altro ruolo la concede.<br>NotActions non è un deny: se un secondo ruolo concede quell'azione, l'utente la ottiene comunque.;identita rbac
Come si calcolano i permessi effettivi di una role definition?;Actions meno NotActions per il control plane, e DataActions meno NotDataActions per il data plane.;identita rbac
Differenza tra Actions e DataActions in una role definition;Actions riguarda il control plane (gestire la risorsa, es. creare uno storage account). DataActions riguarda il data plane (leggere i dati dentro, es. scaricare un blob).<br>Owner sullo storage account non implica poter leggere i blob: quello richiede un ruolo con DataActions.;identita rbac
