#separator:Semicolon
#html:true
#tags column:3
#deck:AZ104::04 Networking
Quanti indirizzi IP riserva Azure in ogni subnet?;Cinque: il primo (network address), i tre successivi (gateway e due per il DNS e la piattaforma) e l'ultimo (broadcast).<br>Una subnet /24 offre 251 indirizzi usabili, non 254. Calcolo chiesto continuamente all'esame.;networking vnet
Qual è la subnet più piccola e più grande consentita in una VNet?;Da /29 (3 indirizzi usabili) a /2.<br>Fino a poco tempo fa il minimo era /29: verificare sempre lo scenario. Il valore da ricordare per l'esame è /29 come minimo pratico.;networking vnet
Quanti indirizzi usabili ha una subnet /27?;27 indirizzi. Sono 32 totali meno i 5 riservati da Azure.<br>Tabella da memorizzare: /29 tre, /28 undici, /27 ventisette, /26 cinquantanove, /24 duecentocinquantuno.;networking vnet
Le VNet possono avere spazi di indirizzamento sovrapposti?;Possono esistere, ma non si possono mettere in peering né collegare via VPN.<br>La sovrapposizione degli address space è la causa più comune di fallimento di un peering.;networking vnet
Si può modificare l'address space di una VNet dopo la creazione?;Sì, si possono aggiungere o rimuovere prefissi, purché i range da rimuovere non contengano subnet in uso.<br>Con un peering attivo, in passato serviva risincronizzare il peering dopo la modifica.;networking vnet
Si può ridimensionare una subnet con risorse dentro?;Solo se il nuovo range contiene tutti gli indirizzi già assegnati e non c'è sovrapposizione.<br>In pratica va quasi sempre svuotata. Trappola d'esame.;networking vnet
Quali subnet richiedono un nome esatto e riservato?;GatewaySubnet per il VPN o ExpressRoute gateway, AzureFirewallSubnet, AzureBastionSubnet, AzureFirewallManagementSubnet, RouteServerSubnet.<br>Il nome deve essere esattamente quello, senza varianti. Errore di battitura significa deploy fallito.;networking vnet
Che dimensione minima deve avere AzureBastionSubnet?;Almeno /26.<br>In passato era /27. Per l'esame aggiornato la risposta sicura è /26 o più grande.;networking vnet
Che dimensione minima deve avere GatewaySubnet?;Almeno /29, ma la raccomandazione operativa è /27 o più grande per supportare tutte le configurazioni.<br>Con /29 alcune SKU e ExpressRoute più VPN coesistenti non stanno.;networking vnet
Un NSG si può associare a una GatewaySubnet?;Sconsigliato e in molti casi causa malfunzionamenti del gateway.<br>Su AzureBastionSubnet un NSG è invece supportato ma con regole obbligatorie precise.;networking vnet
